,CollectionTime,actualCapital,association,associationDetail,autoBid,bankCapital,bankFunds,bidSecurity,bindingFlag,businessType,companyName,credit,displayFlg,equityVoList,fundCapital,gjlhhFlag,gjlhhTime,gruarantee,inspection,juridicalPerson,locationArea,locationAreaName,locationCity,locationCityName,manageExpense,manageExpenseDetail,newTrustCreditor,officeAddress,oldPlatName,onlineDate,payment,paymode,platBackground,platBackgroundDetail,platBackgroundDetailExpand,platBackgroundExpand,platBackgroundExpandChild,platBackgroundMark,platCode,platEquity,platId,platIsStatic,platName,platNamePin,platStatus,problem,problemTime,rechargeExpense,rechargeExpenseDetail,recordId,recordLicId,registeredCapital,riskCapital,riskFunds,riskReserve,riskcontrol,riskcontrolDetail,riskcontrolDetailArray,securityModel,securityModelCode,securityModelOther,servicePhone,serviceTel,showShuju,transferExpense,transferExpenseDetail,trustCapital,trustCreditor,trustCreditorMonth,trustFunds,tzjPj,vipExpense,vipExpenseDetail,withTzj,withdrawExpense,withdrawExpenseDetail
0,2018/12/20 22:33,10000,1,2015年08月01日加入上海市互联网金融行业协会任理事单位职务<br/>2018年04月26日加入中国互联网金融协会任理事职务,支持,恒丰银行,1,-,1,,上海你我贷互联网金融信息服务有限公司,1,1,,银行存管存管机构为恒丰银行,0,,,0,严定贵,31,上海,3115,浦东,根据借款人的借款期限，每月向借款人收取借款本金的0.3％作为平台管理费。,,3个月,上海浦东新区杨高南路428号由由世纪广场1号楼17—20楼/26楼,,2011/6/18,1,借记卡网付,0,,民营系,2,,,niwodai,0,40,1,你我贷,nwd,1,0,,投资人充值免费；借款人收费0.5％，由第三方支付平台收取，充值费用上限为100元。,,沪ICP备15056401号-3,,10000,恒丰银行,1,0,0,,,,,,021-61908020,400-680-8888,1,一年内的转让费用为转让金额的1％，可按会员等级打折，超过12个月转让免费,,,,0,,,无,,0,每次提现最高额度为100万元，每月有3次免费提现机会，超过3次按笔收费。,
1,2018/12/20 22:33,10000,1,2016年03月25日加入中国互联网金融协会任会员职务<br/>2015年04月21日加入上海千人互联网金融研究中心任联合创始人职务<br/>2015年05月21日加入北京市互联网金融行业协会任常务副会长职务,支持,厦门银行,1,每月付息，到期自动退出,1,个人信贷(88%)、车贷(5%)、房贷(7%),北京同城翼龙网络科技有限公司,0,1,,,0,,,0,张璇,11,北京,1108,海淀,,,随时,北京市海淀区中关村南大街17号韦伯时代中心C座4层,,2011/4/1,,,0,上市参股,上市参股,3,上市参股,港股公司联想控股持有平台33.33%股份,eloancn,1,144,1,翼龙贷,yld1,1,0,,以是否为投资部分做区分,,京ICP备12015510号,京ICP证151022号,10000,,0,0,1,14年11月获得联想控股投资90000.00万元,14年11月获得联想控股投资90000.00万元,,2,,010-68706288,4000805055,1,,,,,0,,,,,0,以银行为单位作区别工农建招≤5万/2元、5万一个计费单位；其他银行≤2万/2元、2万一个计费单位,
2,2018/12/20 22:33,0,1,2016年03月25日加入中国互联网金融协会任理事单位职务,不支持,华夏银行,1,-,1,,北京玖富时代投资顾问有限公司,0,1,,,0,,,0,任一帆,11,北京,1105,朝阳,0,,不可转让,北京市朝阳区阜通大街一号院望京SOHO塔三B座40层,玖富微理财,2013/10/10,1,借记卡网付,2,民营系,风投系,5,,,9fbank,0,555,1,玖富,jf8,1,0,,0,,京ICP备07003840号,京ICP证070133号,20000,,0,0,0,,,移动金融服务平台,1,移动金融服务平台,010-85276996,400-810-8818,0,,,,,0,,,,,0,0,
3,2018/12/20 22:33,5536,1,2014年12月06日加入北京市互联网金融行业协会任创始会员职务,不支持,江西银行,1,-,1,,和信电子商务有限公司,4,1,,,0,,,1,安晓博,11,北京,1105,朝阳,10％(利息的10％，VIP收取2％-8％),,1个月,北京市朝阳区建国路甲92号世茂大厦座C座13层,,2014/3/7,1,借记卡网付,0,股权上市,股权上市,3,股权上市,纳斯达克上市,hexindai,1,235,1,和信贷,hxd5,1,0,,快捷充值无需支付任何费用，银行转账/支付宝转账平台不收取费用，具体收费以银行/支付宝收费为准。,,京ICP备14023220号,京ICP证140453号,10527,,0,0,1,16年10月获得Dragongate投资基金、LongHarves基金投资20382.90万元<br/>15年09月获得盛达矿业股份有限公司投资2500.00万元,16年10月获得Dragongate投资基金、LongHarves基金投资20382.90万元,保险公司,5,,010-53579038,400-004-6000,0,按照转让金额，收取0.5％的手续费，最低1元/笔。,,,,0,,A,150元/年（参与活动可免费获得）,,0,提现金额的3‰，最低3元/笔（新充值资金15日内收取，超过15日不收取）,
4,2018/12/20 22:33,12195,1,2015年09月13日加入杭州市互联网金融协会任执行会长职务,支持,厦门银行,1,-,1,车贷(100%),微贷（杭州）金融信息服务有限公司,0,1,,,0,,,1,姚宏,33,浙江,3301,杭州,每一笔利息回款的时候，平台向投资人收取利息的6％作为平台的利息管理费。,,随时,杭州市江干区解放东路37号浙江财富金融中心西楼25层、41层、42层、50层,,2011/7/8,1,借记卡网付,0,股权上市,股权上市,3,股权上市,纽交所,wd5,1,38,1,微贷网,wdw,1,0,,免费,,浙ICP备15029561号,浙B2-20160682,12809,,0,0,1,16年05月获得嘉御基金领投，中信建设和东易日盛跟投投资100000.00万元<br/>15年09月获得汉鼎股份投资15000.00万元,16年05月获得嘉御基金领投，中信建设和东易日盛跟投投资100000.00万元,,,,0571-56979228,400-028-8888,0,根据债权持有天数不同，手续费施行阶梯式扣费，手续费由转让人承担。,,,,0,,AAA,免费,,0,每月前3笔提现免费，超过3笔手续费2元一笔，未投资资金转可提收取0.5％的手续费。单笔50元起提。,
5,2018/12/20 22:33,6000,0,,支持,江西银行,1,借款人正常还款，专业贷后风控管理,1,车贷(100%),杭州易港诚互联网金融服务有限公司,0,1,,,0,,,0,周建明,33,浙江,3301,杭州,每笔利息百分之五,,随时,中国（杭州）智慧信息产业园3期D座12楼,,2014/11/1,"1,4","借记卡网付,线下充值(无奖励)",0,上市参股,上市参股,3,上市参股,A股公司科达股份等共同共持有平台9.41%股份,3051,1,3051,1,易港金融,ygjr1,1,0,,免费（充值不收取费用）,,浙ICP备14034265号,浙B2-20160253,6000,,0,0,1,16年05月获得科达股份600986（链动投资）投资6000.00万元,16年05月获得科达股份600986（链动投资）投资6000.00万元,,,,0571-89980653,4000-671-571,1,投资成功30天以上进行转让免费，30天以内收取千分之三,,,,0,,,1.VIP会员具有会员特权2.每次投资行为可获得相应易港币，可用于在易港商城进行商品兑换。,,0,投资金额提现有免费额度，免费额度随每笔投资金额而增加，随每笔投资金额而减少。超过部分收取千分之二,
6,2018/12/20 22:44,2000,1,2015年11月16日加入广州互联网金融协会任会员职务,支持,华兴银行,1,第三方机构担保,1,车贷(100%),广东慧融大数据科技股份有限公司,0,1,,,0,,,1,肖清源,44,广东,4401,广州,投资所得利息的10％,,不可转让,广州市天河区珠江新城珠江东路16号高德置地广场G座3001,一点通,2015/6/5,1,借记卡网付,0,,民营系,2,,,2126,0,2126,1,一点通财富,ydtcf,1,0,,无,,粤ICP备15012935号-2,,3000,,0,0,0,,,中介,1,中介,,4008226117,1,,,,,0,,BB,158元/年,,0,100元起提,
7,2018/12/20 22:44,7500,1,2015年07月30日加入深圳市互联网金融协会任会员职务<br/>2016年08月05日加入广东互联网金融协会任会员职务,支持,新网银行,1,担保机构担保,1,其它(9%)、车贷(89%)、房贷(1%)、融资租赁(1%),深圳融金宝互联网金融服务有限公司,0,1,,,0,,国盛担保(承保10000万元),1,黄兵,44,广东,4403,深圳,普通会员按收益的10％收取(VIP会员的费率标准按项目回款时用户的VIP等级执行，标准如下：VIP等级积分利息管理费率V1V1<200010％V22000≤V2<100008％V310000≤V3<400005％V440000≤V4<1200002％V5V5≥1200000％),,随时,广东省深圳市福田区金田路2028号皇岗商务中心15层,,2014/9/3,1,借记卡网付,0,国资控股,国资控股,4,国资控股,,rjb777,1,743,1,融金宝,rjb,1,0,,无,,粤ICP备18054552号-1,B2-20182183,7500,,0,0,0,,,融资性担保公司,2,,0755-82778915,400-8350-777,1,转让费=转让价格×债权管理费率（％）(持有时间≤31天，每笔将向债权出让人收取转让价格的0.2％作为转让手续费；持有时间＞31天，每笔将向债权出让人收取转让价格的0.1％作为转让手续费。备注：债权转让费用，平台仅对债权出让方收取，不向买入债权的受让方收取),,,,0,,,100元/1年,,0,每位投资人每月有3次免费提现机会(超过次数按以下标准收费：（1）提现20万(含)以下收费2元/笔；（2）提现20万以上收费5元/笔；（3）充值起15天内（含15天）申请提现，未投资资金提现需要收取提现金额的0.2％作为资金托管费，并计入提现次数。其中：15天内未投资的金额（m）=15天内充值的金额-充值后的投资金额15天内未投资的金额（m）资金托管费率（％）资金托管费m＞00.2％提现金额中未投资金额×0.2％m≤00.0％不收取),
8,2018/12/20 22:44,3000,1,2017年02月27日加入广东互联网金融协会任理事单位职务<br/>2015年03月07日加入广州互联网金融协会任副会长单位职务,支持,浙商银行,1,担保合作,1,企业信贷(40%)、车贷(5%)、房贷(15%)、供应链金融(40%),广东新佳联投资管理有限公司,2,1,,,0,,广东华夏融资担保有限公司(承保10000万元)<br/>河源市鸿志中基融资担保有限公司(承保10000万元)<br/>东莞市隆盛融资担保有限公司(承保3000万元)<br/>广东汇盈融资担保有限公司(承保5000万元)<br/>紫金县振中小额贷款有限责任公司(承保5000万元)<br/>广东华阳典当有限公司(承保3000万元)<br/>东莞市博信典当有限公司(承保500万元)<br/>深圳市全大商业保理有限公司(承保3000万元)<br/>东莞市长安典当有限公司(承保3000万元),1,吕衡川,44,广东,4401,广州,利息管理费(利息收益的10％),,随时,广州市天河区珠江新城珠江东路32号利通广场13层01、04室,,2013/7/31,1,借记卡网付,0,国资参股,国资参股,4,国资参股,广东新联在线控股有限公司持有平台100%股份,newunion,0,236,1,新联在线,xlzx,6,1,2018/8/27,0(0),,粤ICP备13042346号,,7000,,0,600,0,,,小贷公司、融资性担保公司、保理公司、典当行,"1,2,6,01,02",典当行,020-38260800,400-996-8989,0,转让本息待收金额0.1％,,,,0,,,120元/年(（活动期间免年费）),,0,提现费(每笔1元每5万元按1笔计算),
9,2018/12/20 22:44,5000,0,,支持,新网银行,1,第三方机构担保,1,车贷(100%),杭州拓道互联网金融服务有限公司,0,1,,,0,,,1,张罗军,33,浙江,3301,杭州,免费,,1个月,杭州市西湖区中节能西溪首座B2裙楼,拓道资本,2013/12/9,1,借记卡网付,2,民营系,风投系,5,,,932,0,932,1,拓道金服,tdjf,1,0,,免费,,浙ICP备13034095号-1,浙B2-20160394,5000,,0,0,1,17年01月获得帮实资本、虫二文化产业基金领投，蓝山资本、宏桥资本、透视资本跟投投资8000.00万元,17年01月获得帮实资本、虫二文化产业基金领投，蓝山资本、宏桥资本、透视资本跟投投资8000.00万元,第三方机构担保,1,第三方机构担保,0571-86881000,4008566685,1,每笔债权转让向出让方收取转让剩余本金的0.5％作为手续费，转让手续费归承接方所有,,,,0,,,免费（以待收金额决定会员等级，待收达标自动升级）,,0,会员每月享免费提现次数。无免费提现次数，则未投资金提现收取0.5％手续费，不含则收取3元/笔手续费。,
10,2018/12/20 22:44,6800,1,2015年12月31日加入深圳市互联网金融协会任副会长职务<br/>2015年12月15日加入广东互联网金融协会任副会长职务,支持,浙商银行,1,-,1,个人信贷(53%)、企业信贷(21%)、车贷(26%),深圳前海联金所金融信息服务有限公司,0,1,,,1,2015年5月16日,,0,郭晓军,44,广东,4403,深圳,无,,随时,深圳市福田区天安数码城创新科技广场1期B座1011,,2013/11/1,1,借记卡网付,0,上市参股,上市参股,3,上市参股,A股公司赫美集团持有平台10.2%股份,660,1,660,1,联金所,ljs,1,0,,无,,粤ICP备14046625号,,6800,,0,0,1,15年11月获得深圳赫美集团股份有限公司投资25500.00万元<br/>17年12月获得上海闻玺投资咨询有限公司投资971.38万元<br/>17年12月获得佛山市新叶投资合伙企业（有限合伙）投资4468.62万元,15年11月获得深圳赫美集团股份有限公司投资25500.00万元,第三方机构担保,1,第三方机构担保,0755-88607525,400-867-9888,1,1个月≤持有时间＜6个月，转让费用为转让价格*0.5％；持有时间≥6个月，免费转让。,,,,0,,A,无,,0,按上月月末待收本金的不同享有的免费提现次数不同（1-8次），超过免费提现次数，按3元/笔收费,
